                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     76,                 1.0662,                0.76214,                 1.0717,                0.98073,                0.96287,                 0.9928,                0.71126,                 1.0047,                0.56884,                 1.1425,             0.00017219,             0.00017219,             0.00017219
                     77,                 1.0389,                0.75783,                 1.0697,                0.98157,                0.96874,                 0.9928,                0.71185,                 1.0132,                0.57582,                 1.1391,             0.00016016,             0.00016016,             0.00016016
                     78,                 1.0336,                0.76005,                 1.0601,                0.98352,                0.97506,                 0.9928,                0.71882,                 1.0289,                0.57503,                 1.1403,             0.00014854,             0.00014854,             0.00014854
                     79,                  1.031,                0.72922,                 1.0346,                 0.9852,                0.97777,                 0.9928,                0.70603,                 1.0299,                0.57094,                 1.1405,             0.00013732,             0.00013732,             0.00013732
                     80,                0.99325,                 0.7564,                 1.0896,                0.98515,                0.97609,                 0.9928,                0.71047,                 1.0244,                0.56902,                 1.1398,             0.00012651,             0.00012651,             0.00012651
                     81,                  1.129,                 0.8383,                 1.0533,                0.98099,                 0.9739,                 0.9928,                 0.7112,                 1.0221,                0.56556,                 1.1372,             0.00011614,             0.00011614,             0.00011614
                     82,                 1.0146,                0.72324,                 1.0355,                0.97855,                0.97025,                 0.9928,                0.70904,                 1.0216,                0.56248,                 1.1337,             0.00010621,             0.00010621,             0.00010621
                     83,                  1.036,                0.74234,                 1.0481,                0.97946,                0.96533,                 0.9928,                0.70751,                 1.0218,                0.55896,                 1.1288,             9.6721e-05,             9.6721e-05,             9.6721e-05
                     84,                0.97243,                0.72136,                 1.0582,                0.97992,                0.96358,                 0.9928,                0.71137,                 1.0188,                0.55693,                 1.1293,             8.7694e-05,             8.7694e-05,             8.7694e-05
                     85,                 1.0308,                0.76728,                 1.0658,                0.95485,                0.98787,                 0.9928,                 0.7181,                 1.0152,                0.55363,                 1.1303,             7.9135e-05,             7.9135e-05,             7.9135e-05
                     86,                  1.036,                0.74959,                 1.0706,                0.95367,                 0.9907,                 0.9928,                0.71381,                 1.0128,                 0.5587,                 1.1353,              7.105e-05,              7.105e-05,              7.105e-05
                     87,                 1.0491,                0.79286,                 1.0899,                0.95258,                 0.9928,                 0.9928,                0.71579,                 1.0187,                0.56342,                 1.1428,              6.345e-05,              6.345e-05,              6.345e-05
                     88,                 1.0535,                0.71508,                 1.0075,                0.95195,                0.99424,                 0.9928,                 0.7158,                  1.025,                0.56534,                 1.1473,              5.634e-05,              5.634e-05,              5.634e-05
                     89,                 1.0017,                0.71076,                 1.0627,                0.95251,                0.99348,                 0.9928,                0.71182,                 1.0277,                 0.5666,                 1.1488,             4.9729e-05,             4.9729e-05,             4.9729e-05
                     90,                0.93846,                0.69449,                 1.0551,                0.95369,                0.99167,                 0.9928,                0.71231,                 1.0263,                0.56476,                 1.1476,             4.3622e-05,             4.3622e-05,             4.3622e-05
                     91,                0.89224,                0.66458,                 1.0396,                0.95392,                0.99152,                 0.9928,                 0.7072,                  1.025,                0.56111,                 1.1453,             3.8026e-05,             3.8026e-05,             3.8026e-05
                     92,                0.93626,                0.77184,                 1.0562,                0.95395,                0.99119,                 0.9928,                0.71135,                 1.0208,                0.55712,                 1.1402,             3.2946e-05,             3.2946e-05,             3.2946e-05
                     93,                0.96996,                0.90852,                 1.0955,                0.95283,                0.99218,                 0.9928,                0.70947,                 1.0212,                0.55732,                 1.1385,             2.8388e-05,             2.8388e-05,             2.8388e-05
                     94,                 0.9294,                0.72424,                 1.0404,                0.95296,                0.99186,                 0.9928,                0.71074,                 1.0214,                0.55912,                 1.1376,             2.4354e-05,             2.4354e-05,             2.4354e-05
                     95,                0.95371,                0.75481,                 1.0764,                 0.9522,                 0.9927,                 0.9928,                 0.7059,                 1.0221,                0.56007,                 1.1361,             2.0851e-05,             2.0851e-05,             2.0851e-05
                     96,                  0.937,                0.74803,                 1.0456,                0.95191,                0.99298,                 0.9928,                0.71061,                 1.0236,                0.55944,                 1.1373,             1.7881e-05,             1.7881e-05,             1.7881e-05
                     97,                0.90054,                0.64649,                0.99774,                0.95135,                0.99411,                 0.9928,                0.70946,                 1.0253,                0.56229,                 1.1367,             1.5446e-05,             1.5446e-05,             1.5446e-05
                     98,                0.88846,                 0.7917,                 1.0892,                0.95109,                0.99419,                 0.9928,                0.70663,                  1.025,                 0.5628,                 1.1369,             1.3551e-05,             1.3551e-05,             1.3551e-05
                     99,                0.89477,                0.69587,                  1.019,                0.95113,                0.99439,                 0.9928,                0.70718,                 1.0249,                 0.5629,                 1.1384,             1.2195e-05,             1.2195e-05,             1.2195e-05
                    100,                0.89256,                0.70219,                  1.022,                0.95078,                0.99534,                 0.9928,                0.70872,                  1.024,                0.56676,                 1.1368,             1.1381e-05,             1.1381e-05,             1.1381e-05
